Date,Open,High,Low,Close
04/11/2024,"70,026","71,253","69,576","70,460"
04/10/2024,"68,995","70,023","67,510","70,023"
04/09/2024,"71,674","71,975","68,274","68,995"
04/08/2024,"69,080","72,695","68,931","71,671"
04/07/2024,"68,282","70,285","68,207","69,080"
04/06/2024,"67,433","68,498","67,357","68,282"
04/05/2024,"68,449","68,731","66,018","67,433"
04/04/2024,"65,871","69,269","65,114","68,445"
04/03/2024,"66,075","66,916","64,572","65,872"
04/02/2024,"69,716","69,910","64,587","66,081"
04/01/2024,"71,024","71,365","68,117","69,717"
03/31/2024,"69,946","71,220","69,598","71,024"
03/30/2024,"69,690","70,349","69,350","69,946"
03/29/2024,"70,856","71,068","69,130","69,689"
03/28/2024,"68,640","71,563","68,608","70,857"
03/27/2024,"69,438","71,715","68,397","68,641"
03/26/2024,"71,013","71,543","69,348","69,438"
03/25/2024,"65,840","71,086","65,752","71,010"
03/24/2024,"64,889","65,988","63,828","65,840"
03/23/2024,"63,952","65,991","62,385","64,890"
03/22/2024,"65,318","66,618","62,639","63,958"
03/21/2024,"65,693","68,188","64,869","65,320"
03/20/2024,"64,419","65,984","60,828","65,693"
03/19/2024,"66,958","68,094","62,348","64,421"
03/18/2024,"68,517","68,890","66,598","66,959"
03/17/2024,"66,914","68,590","64,554","68,517"
03/16/2024,"68,870","70,034","66,648","66,916"
03/15/2024,"69,302","72,376","65,685","68,859"
03/14/2024,"73,466","73,798","68,575","69,303"
03/13/2024,"71,398","73,679","70,681","73,463"
03/12/2024,"72,021","72,960","68,826","71,395"
03/11/2024,"69,530","72,886","67,376","72,021"
03/10/2024,"68,512","70,000","68,377","69,530"
03/09/2024,"69,294","69,379","68,060","68,512"
03/08/2024,"67,751","70,136","66,238","69,294"
03/07/2024,"67,134","68,051","65,664","67,755"
03/06/2024,"61,910","67,627","61,908","67,139"
03/05/2024,"67,708","69,209","59,706","61,909"
03/04/2024,"62,794","67,911","62,530","67,710"
03/03/2024,"61,947","63,007","61,449","62,794"
03/02/2024,"63,047","63,048","61,655","61,947"
03/01/2024,"62,064","63,231","60,703","63,053"
02/29/2024,"60,318","63,636","59,817","62,074"
02/28/2024,"56,990","64,038","56,646","60,312"
02/27/2024,"54,480","57,582","54,360","56,989"
02/26/2024,"51,738","54,944","50,936","54,479"
02/25/2024,"51,510","51,955","51,298","51,738"
02/24/2024,"51,101","51,680","50,543","51,510"
02/23/2024,"51,963","52,001","50,640","51,101"
02/22/2024,"50,978","52,019","50,927","51,963"
02/21/2024,"52,018","52,509","50,677","50,978"
02/20/2024,"51,811","52,974","50,789","52,018"
02/19/2024,"51,791","52,489","51,708","51,811"
02/18/2024,"51,533","52,056","51,216","51,791"
02/17/2024,"51,843","52,246","50,662","51,533"
02/16/2024,"51,721","52,580","51,370","51,842"
02/15/2024,"51,714","52,839","51,518","51,721"
02/14/2024,"49,424","52,052","49,282","51,713"
02/13/2024,"50,190","50,369","48,380","49,424"
02/12/2024,"48,055","50,314","47,734","50,190"
02/11/2024,"47,894","48,580","47,596","48,055"
02/10/2024,"47,544","48,155","46,900","47,894"
02/09/2024,"45,508","48,153","45,263","47,543"
02/08/2024,"44,116","45,600","44,116","45,508"
02/07/2024,"43,074","44,238","42,770","44,116"
02/06/2024,"42,374","43,351","42,295","43,074"
02/05/2024,"42,852","43,506","42,253","42,375"
02/04/2024,"43,049","43,092","42,556","42,852"
02/03/2024,"42,931","43,348","42,878","43,049"
02/02/2024,"42,980","43,430","42,559","42,932"
02/01/2024,"42,519","43,251","41,872","42,979"
01/31/2024,"43,560","43,726","42,342","42,519"
01/30/2024,"43,158","43,834","43,077","43,560"
01/29/2024,"41,943","43,292","41,659","43,158"
01/28/2024,"42,056","42,809","41,686","41,943"
01/27/2024,"41,975","42,065","41,409","42,056"
01/26/2024,"39,769","42,213","39,769","41,975"
01/25/2024,"39,553","40,266","39,468","39,766"
01/24/2024,"39,159","40,502","39,043","39,563"
01/23/2024,"40,124","40,138","38,515","39,162"
01/22/2024,"41,627","41,770","39,424","40,123"
01/21/2024,"41,715","41,848","41,525","41,626"
01/20/2024,"41,515","41,770","41,436","41,714"
01/19/2024,"40,776","42,132","40,280","41,513"
01/18/2024,"42,646","42,873","40,618","40,786"
01/17/2024,"43,171","43,558","42,186","42,648"
